src/app/achievement/card/page.tsx:  phonetics_complete: { title: '四十音毕业', subtitle: '托里和你一起学完了发音', icon: '🎓' },
src/app/achievement/card/page.tsx:  days_100: { title: '学习满100天', subtitle: '和托里相伴走过百天', icon: '🌈' },
src/app/achievement/card/page.tsx:  ctx.fillText('韩语学习日记', W / 2, 100);
src/app/achievement/card/page.tsx:  const statsText = `复习 ${stats.reviews} 词  ·  学习 ${stats.days} 天  ·  AI对话 ${stats.chats} 次`;
src/app/achievement/card/page.tsx:        <p className="text-sm text-[var(--text-secondary)]">继续学习，托里会在这里等你！</p>
src/app/achievement/card/page.tsx:          去学习
src/app/achievement/card/page.tsx:          <span>学习 {stats.days} 天</span>
src/app/admin/ambassadors/page.tsx:          <h1 className="text-2xl font-bold text-[var(--text-primary)]">学习大使</h1>
src/app/admin/ambassadors/page.tsx:            <p className="text-sm text-[var(--text-muted)]">还没有学习大使</p>
src/app/admin/layout.tsx:          返回首页
src/app/admin/users/page.tsx:                <th className="text-center px-4 py-3 text-xs text-[var(--text-muted)] font-medium">学习天数</th>
src/app/admin/users/[id]/page.tsx:          { label: '学习天数', value: data.totalStudyDays, unit: '天' },
src/app/admin/users/[id]/page.tsx:          { label: '学习时长', value: Math.round(data.totalMinutesStudied / 60), unit: '小时' },
src/app/admin/users/[id]/page.tsx:          <h3 className="text-sm font-semibold text-[var(--text-primary)] mb-4">最近7天学习时长</h3>
src/app/ai/analyze/page.tsx:              <p className="text-sm text-[var(--text-secondary)]">未能识别到词汇或语法</p>
src/app/ai/analyze/page.tsx:            支持识别词典词汇、助词语法和句型模式
src/app/ai/chat/page.tsx:            选择情景，开启沉浸式韩语对话练习
src/app/ai/chat/page.tsx:            选择情景，开启沉浸式韩语对话练习
src/app/ai/chat/page.tsx:            选择一个情景开始对话练习
src/app/ai/chat/page.tsx:            每次对话结束后，新词汇将自动加入你的单词库
src/app/ai/page.tsx:    description: '8个生活场景的沉浸式对话练习（便利店、餐厅、问路、咖啡厅等）',
src/app/ai/page.tsx:    description: '根据你的兴趣和水平，AI 自动生成新的绘本故事和练习题',
src/app/ai/page.tsx:        <h1 className="text-2xl font-bold text-[var(--text-primary)] section-header">AI 学习助手</h1>
src/app/ai/page.tsx:          目前使用本地智能分析，未来将接入大语言模型，提供更智能的韩语学习体验
src/app/ai/voice/page.tsx:  { emoji: '🍜', label: '韩国美食', prompt: '한국 음식 중에 뭐가 제일 맛있어요?' },
src/app/ai/voice/page.tsx:  { emoji: '✈️', label: '去韩国旅行', prompt: '한국 여행 가면 어디에 가야 돼요?' },
src/app/api/admin/content/route.ts:    { module: '词汇库', icon: '📖', totalItems: 0, lastUpdated: 0 },
src/app/api/admin/dashboard/route.ts:    dictation: { feature: '听写练习', icon: '🎧' },
src/app/api/admin/dashboard/route.ts:    flashcard: { feature: '闪卡学习', icon: '🃏' },
src/app/api/admin/dashboard/route.ts:    video_study: { feature: '视频学习', icon: '🎬' },
src/app/api/admin/dashboard/route.ts:    learn_word: { feature: '学习新词', icon: '📖' },
src/app/api/admin/dashboard/route.ts:    grammar: { feature: '语法学习', icon: '📐' },
src/app/api/admin/dashboard/route.ts:      { feature: '听写练习', icon: '🎧', count: 0, totalPercent: 0 },
src/app/api/ai/voice/route.ts:            content: `你是 토리(Tori)，一只可爱的兔子，也是用户的韩语口语练习伙伴。用户是正在学习韩语的中国学生。
src/app/api/ai/voice/route.ts:6. 可以聊日常生活、韩国文化、学习心得等话题
src/app/api/buddy/invites/consume/route.ts:    return NextResponse.json({ error: '不能添加自己为学习搭子' }, { status: 400 });
src/app/api/buddy/invites/consume/route.ts:    return NextResponse.json({ error: '你们已经是学习搭子了' }, { status: 409 });
src/app/api/kpop-news/route.ts:1. 每条返回：id(英文)、title(吸引眼球的标题，可优化原标题)、summary(2-4句中文概述视频/话题内容)、tag(回归/新歌/演唱会/OST/颁奖/趋势/粉丝/综艺/直拍)、source(bilibili或weibo)、sourceUrl(原始链接)、bvid(仅B站视频需要)、pic(仅B站视频需要)、author(仅B站视频需要)、vocab(3-5个韩语关键词汇)
src/app/api/kpop-news/route.ts:3. 词汇选和内容相关的核心韩语词
src/app/auth/login/page.tsx:          返回首页
src/app/auth/login/page.tsx:            <p className="text-xs text-[var(--text-muted)] mt-1">登录你的学习账户</p>
src/app/auth/register/page.tsx:          返回首页
src/app/auth/register/page.tsx:            <p className="text-xs text-[var(--text-muted)] mt-1">创建你的学习账户</p>
src/app/buddy/invite/page.tsx:      ctx.fillText('找个学习搭子', W / 2, 300);
src/app/buddy/invite/page.tsx:      ctx.fillText('扫描二维码或点击链接，和托里一起学习吧', W / 2, H - 120);
